iter	Passed	Remaining
807	8744	2077
808	8755	2067
809	8765	2056
810	8776	2045
811	8788	2034
812	8799	2023
813	8810	2013
814	8821	2002
815	8828	1990
816	8839	1979
817	8851	1969
818	8863	1958
819	8874	1948
820	8886	1937
821	8898	1927
822	8909	1916
823	8920	1905
824	8932	1894
825	8943	1884
826	8952	1872
827	8962	1861
828	8975	1851
829	8987	1840
830	8997	1829
831	9007	1818
832	9019	1808
833	9030	1797
834	9042	1786
835	9053	1776
836	9063	1765
837	9074	1754
838	9087	1743
839	9099	1733
840	9112	1722
841	9122	1711
842	9134	1701
843	9145	1690
844	9156	1679
845	9167	1668
846	9178	1658
847	9190	1647
848	9201	1636
849	9215	1626
850	9228	1615
851	9239	1604
852	9249	1594
853	9260	1583
854	9272	1572
855	9284	1561
856	9297	1551
857	9309	1540
858	9317	1529
859	9328	1518
860	9339	1507
861	9351	1497
862	9363	1486
863	9373	1475
864	9385	1464
865	9396	1454
866	9409	1443
867	9420	1432
868	9430	1421
869	9444	1411
870	9454	1400
871	9465	1389
872	9479	1379
873	9491	1368
874	9500	1357
875	9510	1346
876	9522	1335
877	9534	1324
878	9546	1314
879	9557	1303
880	9566	1292
881	9577	1281
882	9590	1270
883	9599	1259
884	9609	1248
885	9622	1238
886	9634	1227
887	9647	1216
888	9659	1206
889	9671	1195
890	9682	1184
891	9694	1173
892	9705	1162
893	9717	1152
894	9725	1140
895	9735	1129
896	9747	1119
897	9757	1108
898	9771	1097
899	9783	1087
900	9794	1076
901	9802	1064
902	9814	1054
903	9825	1043
904	9837	1032
905	9847	1021
906	9857	1010
907	9871	1000
908	9881	989
909	9893	978
910	9904	967
911	9916	956
912	9928	946
913	9939	935
914	9950	924
915	9961	913
916	9972	902
917	9984	891
918	9995	881
919	10005	870
920	10016	859
921	10026	848
922	10036	837
923	10049	826
924	10061	815
925	10073	804
926	10084	794
927	10098	783
928	10111	772
929	10121	761
930	10131	750
931	10141	739
932	10147	728
933	10158	717
934	10169	706
935	10182	696
936	10192	685
937	10204	674
938	10216	663
939	10227	652
940	10239	641
941	10251	631
942	10263	620
943	10274	609
944	10285	598
945	10295	587
946	10305	576
947	10316	565
948	10327	554
949	10339	544
950	10352	533
951	10365	522
952	10377	511
953	10387	500
954	10398	489
955	10410	479
956	10422	468
957	10435	457
958	10445	446
959	10457	435
960	10468	424
961	10480	413
962	10491	403
963	10501	392
964	10511	381
965	10521	370
966	10531	359
967	10540	348
968	10550	337
969	10564	326
970	10576	315
971	10587	304
972	10596	294
973	10607	283
974	10618	272
975	10628	261
976	10638	250
977	10648	239
978	10657	228
979	10668	217
980	10678	206
981	10689	195
982	10700	185
983	10712	174
984	10722	163
985	10732	152
986	10743	141
987	10755	130
988	10768	119
989	10778	108
990	10789	97
991	10801	87
992	10811	76
993	10822	65
994	10834	54
995	10846	43
996	10858	32
997	10870	21
998	10881	10
999	10892	0
